generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Libythea,Olyras,0,0.032,0,0.005,0
20000,Libythea,Olyras,0,0.253477,-0.0248932,0.00042683,0
40000,Libythea,Olyras,0,0.37593,-0.0312146,0.000222182,0
40000,Calinaga,NA,40.4425,0.385076,-0.0860569,0.147775,0
60000,Libythea,Olyras,0,0.379843,-0.0295335,0.000712413,0
60000,Libythea,Libytheana,7.82558,0.165197,0.00360525,0.2381,0
80000,Libythea,Olyras,0,0.424873,-0.0311793,8.92941e-05,0
80000,Olyras,Paititia,79.6036,0.348329,-0.0210819,0.618243,0
100000,Libythea,Olyras,0,0.354173,-0.0303789,0.000202078,0
100000,Olyras,Hyposcada,62.3379,0.589647,-0.112889,0.0144851,0
120000,Libythea,Olyras,0,0.349077,-0.0296475,0.00151908,0
120000,Olyras,Mechanitis,61.3658,0.458347,-0.110539,0.00696807,0
140000,Libythea,Olyras,0,0.354152,-0.0293053,0.000891425,0
140000,Olyras,Mechanitis,60.7382,0.746633,-0.130123,0.0151219,0
140000,Pararge,NA,82.7431,0.124201,-0.086158,0.03602,0
160000,Libythea,Olyras,0,0.286773,-0.0262099,0.000196017,0
160000,Hyposcada,Epityches,67.9029,0.813463,-0.128751,0.0756341,0
160000,Antanartia,NA,77.7282,0.046114,-0.0601536,0.0730683,0
160000,Pharneuptychia,NA,88.7047,0.311416,-0.131979,0.406283,0
180000,Libythea,Olyras,0,0.440583,-0.0321225,0.000841212,0
180000,Greta,NA,94.4085,0.389975,0.0576623,0.109379,0
180000,Olyras,Mechanitis,60.2016,0.486695,-0.0966756,0.0161316,0
200000,Libythea,Olyras,0,0.338354,-0.0283921,0.00339263,0
200000,Olyras,Mechanitis,61.0346,0.516969,-0.119229,0.00183177,0
220000,Libythea,Olyras,0,0.297463,-0.0273264,4.60687e-05,0
220000,Olyras,Hyposcada,63.4709,0.551327,-0.103468,0.0176987,0
220000,Metamorpha,NA,93.243,0.31668,-0.0573785,0.280184,0
240000,Libythea,Olyras,0,0.275034,-0.0256707,0.00179895,0
240000,Olyras,Mechanitis,60.372,0.379107,-0.0805053,0.0049432,0
